020-07-29 16:36:04,731 [main] INFO OrangeHRM - URL is opened
2020-07-30 15:44:37,895 [main] INFO OrangeHRM - Username Provided
2020-07-30 15:44:38,012 [main] INFO OrangeHRM - Password Provided
2020-07-30 15:44:46,500 [main] INFO OrangeHRM - Click on Edit Button
2020-07-30 15:44:46,665 [main] INFO OrangeHRM - Enter first name
2020-07-30 15:48:02,983 [main] INFO OrangeHRM - Username Provided
2020-07-30 15:48:03,102 [main] INFO OrangeHRM - Password Provided
2020-07-30 15:48:11,434 [main] INFO OrangeHRM - Click on Edit Button
2020-07-30 15:48:11,595 [main] INFO OrangeHRM - Enter first name
2020-07-30 15:51:31,759 [main] INFO OrangeHRM - Username Provided
2020-07-30 15:51:31,878 [main] INFO OrangeHRM - Password Provided
2020-07-30 15:51:40,901 [main] INFO OrangeHRM - Click on Edit Button
2020-07-30 15:51:41,065 [main] INFO OrangeHRM - Enter first name
2020-07-30 15:54:40,319 [main] INFO OrangeHRM - Username Provided
2020-07-30 15:54:40,437 [main] INFO OrangeHRM - Password Provided
2020-07-30 15:54:49,079 [main] INFO OrangeHRM - Click on Edit Button
2020-07-30 15:54:49,234 [main] INFO OrangeHRM - Enter first name
2020-07-30 15:57:10,987 [main] INFO OrangeHRM - Username Provided
2020-07-30 15:57:11,107 [main] INFO OrangeHRM - Password Provided
2020-07-30 15:58:10,458 [main] INFO OrangeHRM - Username Provided
2020-07-30 15:58:10,574 [main] INFO OrangeHRM - Password Provided
2020-07-30 15:58:18,962 [main] INFO OrangeHRM - Click on Edit Button
2020-07-30 15:58:19,121 [main] INFO OrangeHRM - Enter first name
2020-07-30 16:00:27,352 [main] INFO OrangeHRM - Username Provided
2020-07-30 16:00:27,467 [main] INFO OrangeHRM - Password Provided
2020-07-30 16:00:36,552 [main] INFO OrangeHRM - Click on Edit Button
2020-07-30 16:00:36,711 [main] INFO OrangeHRM - Enter first name
2020-07-30 16:03:23,451 [main] INFO OrangeHRM - Username Provided
2020-07-30 16:03:23,566 [main] INFO OrangeHRM - Password Provided
2020-07-30 16:03:29,173 [main] INFO OrangeHRM - Click on Edit Button
2020-07-30 16:03:29,332 [main] INFO OrangeHRM - Enter first name
2020-07-30 16:05:03,938 [main] INFO OrangeHRM - Username Provided
2020-07-30 16:05:04,056 [main] INFO OrangeHRM - Password Provided
2020-07-30 16:05:09,566 [main] INFO OrangeHRM - Click on Edit Button
2020-07-30 16:05:09,726 [main] INFO OrangeHRM - Enter first name
2020-07-30 16:05:09,860 [main] INFO OrangeHRM - Enter last name
2020-07-30 16:05:10,006 [main] INFO OrangeHRM - Insert ID
2020-07-30 16:05:10,234 [main] INFO OrangeHRM - Data is inserting
2020-07-30 16:05:10,334 [main] INFO OrangeHRM - Gender Choosing
2020-07-30 16:05:55,632 [main] INFO OrangeHRM - Username Provided
2020-07-30 16:05:55,749 [main] INFO OrangeHRM - Password Provided
2020-07-30 16:06:01,443 [main] INFO OrangeHRM - Click on Edit Button
2020-07-30 16:06:01,604 [main] INFO OrangeHRM - Enter first name
2020-07-30 16:06:01,741 [main] INFO OrangeHRM - Enter last name
2020-07-30 16:06:01,882 [main] INFO OrangeHRM - Insert ID
2020-07-30 16:06:02,159 [main] INFO OrangeHRM - Data is inserting
2020-07-30 16:06:02,243 [main] INFO OrangeHRM - Gender Choosing
2020-07-30 16:07:24,721 [main] INFO OrangeHRM - Username Provided
2020-07-30 16:07:24,837 [main] INFO OrangeHRM - Password Provided
2020-07-30 16:07:32,254 [main] INFO OrangeHRM - Click on Edit Button
2020-07-30 16:07:32,410 [main] INFO OrangeHRM - Enter first name
2020-07-30 16:07:32,545 [main] INFO OrangeHRM - Enter last name
2020-07-30 16:07:32,686 [main] INFO OrangeHRM - Insert ID
2020-07-30 16:07:32,977 [main] INFO OrangeHRM - Data is inserting
2020-07-30 16:07:33,070 [main] INFO OrangeHRM - Gender Choosing
2020-07-30 16:12:03,156 [main] INFO OrangeHRM - Username Provided
2020-07-30 16:12:03,273 [main] INFO OrangeHRM - Password Provided
2020-07-30 16:12:08,749 [main] INFO OrangeHRM - Click on Edit Button
2020-07-30 16:12:08,910 [main] INFO OrangeHRM - Enter first name
2020-07-30 16:12:09,046 [main] INFO OrangeHRM - Enter last name
2020-07-30 16:12:09,193 [main] INFO OrangeHRM - Insert ID
2020-07-30 16:12:09,466 [main] INFO OrangeHRM - Data is inserting
2020-07-30 16:12:09,549 [main] INFO OrangeHRM - Gender is Choosing
2020-07-30 16:13:08,184 [main] INFO OrangeHRM - Username Provided
2020-07-30 16:13:08,299 [main] INFO OrangeHRM - Password Provided
2020-07-30 16:13:14,307 [main] INFO OrangeHRM - Click on Edit Button
2020-07-30 16:13:14,467 [main] INFO OrangeHRM - Enter first name
2020-07-30 16:13:14,606 [main] INFO OrangeHRM - Enter last name
2020-07-30 16:13:14,750 [main] INFO OrangeHRM - Insert ID
2020-07-30 16:13:15,021 [main] INFO OrangeHRM - Data is inserting
2020-07-30 16:13:15,107 [main] INFO OrangeHRM - Gender is Choosing
2020-07-30 16:13:15,234 [main] INFO OrangeHRM - Choose Material status
2020-07-30 16:13:15,344 [main] INFO OrangeHRM - Choose Nationality
2020-07-30 16:13:18,083 [main] INFO OrangeHRM - Save Sucessfully
2020-07-30 16:13:18,092 [main] INFO OrangeHRM - Test is passed
2020-07-30 16:14:22,345 [main] INFO OrangeHRM - URL is opened
2020-07-30 16:14:24,613 [main] INFO OrangeHRM - Entered Username
2020-07-30 16:14:24,728 [main] INFO OrangeHRM - Entered Password
2020-07-30 16:14:26,992 [main] INFO OrangeHRM - Test is passed
2020-07-30 16:14:36,354 [main] INFO OrangeHRM - Username Provided
2020-07-30 16:14:36,487 [main] INFO OrangeHRM - Password Provided
2020-07-30 16:14:43,730 [main] INFO OrangeHRM - Click on Edit Button
2020-07-30 16:14:43,892 [main] INFO OrangeHRM - Enter first name
2020-07-30 16:14:44,026 [main] INFO OrangeHRM - Enter last name
2020-07-30 16:14:44,170 [main] INFO OrangeHRM - Insert ID
2020-07-30 16:14:44,486 [main] INFO OrangeHRM - Data is inserting
2020-07-30 16:14:44,581 [main] INFO OrangeHRM - Gender is Choosing
2020-07-30 16:14:44,659 [main] INFO OrangeHRM - Choose Material status
2020-07-30 16:14:44,724 [main] INFO OrangeHRM - Choose Nationality
2020-07-30 16:14:46,550 [main] INFO OrangeHRM - Save Sucessfully
2020-07-30 16:14:46,560 [main] INFO OrangeHRM - Test is passed
2020-07-30 16:18:07,421 [main] INFO OrangeHRM - URL is opened
2020-07-30 16:18:09,697 [main] INFO OrangeHRM - Entered Username
2020-07-30 16:18:09,812 [main] INFO OrangeHRM - Entered Password
2020-07-30 16:18:11,988 [main] INFO OrangeHRM - Test is passed
2020-07-30 16:18:20,582 [main] INFO OrangeHRM - Username Provided
2020-07-30 16:18:20,696 [main] INFO OrangeHRM - Password Provided
2020-07-30 16:18:26,258 [main] INFO OrangeHRM - Click on Edit Button
2020-07-30 16:18:26,420 [main] INFO OrangeHRM - Enter first name
2020-07-30 16:18:26,557 [main] INFO OrangeHRM - Enter last name
2020-07-30 16:18:26,696 [main] INFO OrangeHRM - Insert ID
2020-07-30 16:18:26,971 [main] INFO OrangeHRM - Data is inserting
2020-07-30 16:18:27,066 [main] INFO OrangeHRM - Gender is Choosing
2020-07-30 16:18:27,139 [main] INFO OrangeHRM - Choose Material status
2020-07-30 16:18:27,201 [main] INFO OrangeHRM - Choose Nationality
2020-07-30 16:18:29,164 [main] INFO OrangeHRM - Save Sucessfully
2020-07-30 16:18:29,171 [main] INFO OrangeHRM - Test is passed
2020-07-30 22:33:25,608 [main] INFO OrangeHRM - User name is provided
2020-07-30 22:33:25,701 [main] INFO OrangeHRM - Password is provided
2020-07-30 22:33:30,848 [main] INFO OrangeHRM - Login Passed
2020-07-30 22:33:35,321 [main] INFO OrangeHRM - User name is provided
2020-07-30 22:33:35,400 [main] INFO OrangeHRM - Password is provided
2020-07-30 22:33:39,458 [main] INFO OrangeHRM - User name is provided
2020-07-30 22:33:39,531 [main] INFO OrangeHRM - Password is provided
2020-07-30 22:33:43,439 [main] INFO OrangeHRM - User name is provided
2020-07-30 22:33:43,518 [main] INFO OrangeHRM - Password is provided
2020-07-30 22:33:48,095 [main] INFO OrangeHRM - Login Passed
2020-07-30 22:33:52,654 [main] INFO OrangeHRM - User name is provided
2020-07-30 22:33:52,732 [main] INFO OrangeHRM - Password is provided
2020-07-30 22:33:56,509 [main] INFO OrangeHRM - User name is provided
2020-07-30 22:33:56,587 [main] INFO OrangeHRM - Password is provided
2020-07-30 22:34:52,485 [main] INFO OrangeHRM - URL is opened
2020-07-30 22:34:54,770 [main] INFO OrangeHRM - Entered Username
2020-07-30 22:34:54,865 [main] INFO OrangeHRM - Entered Password
2020-07-30 22:34:57,321 [main] INFO OrangeHRM - Test is passed
2020-07-30 22:35:04,997 [main] INFO OrangeHRM - User name is provided
2020-07-30 22:35:05,093 [main] INFO OrangeHRM - Password is provided
2020-07-30 22:35:10,260 [main] INFO OrangeHRM - Login Passed
2020-07-30 22:35:14,607 [main] INFO OrangeHRM - User name is provided
2020-07-30 22:35:14,682 [main] INFO OrangeHRM - Password is provided
2020-07-30 22:35:18,630 [main] INFO OrangeHRM - User name is provided
2020-07-30 22:35:18,701 [main] INFO OrangeHRM - Password is provided
2020-07-30 22:35:22,505 [main] INFO OrangeHRM - User name is provided
2020-07-30 22:35:22,583 [main] INFO OrangeHRM - Password is provided
2020-07-30 22:35:27,149 [main] INFO OrangeHRM - Login Passed
2020-07-30 22:35:31,730 [main] INFO OrangeHRM - User name is provided
2020-07-30 22:35:31,813 [main] INFO OrangeHRM - Password is provided
2020-07-30 22:35:35,716 [main] INFO OrangeHRM - User name is provided
2020-07-30 22:35:35,795 [main] INFO OrangeHRM - Password is provided
2020-07-30 22:35:47,943 [main] INFO OrangeHRM - Username Provided
2020-07-30 22:35:48,032 [main] INFO OrangeHRM - Password Provided
2020-07-30 22:35:53,655 [main] INFO OrangeHRM - Click on Edit Button
2020-07-30 22:35:53,812 [main] INFO OrangeHRM - Enter first name
2020-07-30 22:35:53,940 [main] INFO OrangeHRM - Enter last name
2020-07-30 22:35:54,066 [main] INFO OrangeHRM - Insert ID
2020-07-30 22:35:54,302 [main] INFO OrangeHRM - Data is inserting
2020-07-30 22:35:54,396 [main] INFO OrangeHRM - Gender is Choosing
2020-07-30 22:35:54,496 [main] INFO OrangeHRM - Choose Material status
2020-07-30 22:35:54,557 [main] INFO OrangeHRM - Choose Nationality
2020-07-30 22:35:56,291 [main] INFO OrangeHRM - Save Sucessfully
2020-07-30 22:35:56,297 [main] INFO OrangeHRM - Test is passed
